session_id,image1,image2
1,1051,107962
1,2319899,2320658
1,2349335,2349737
1,2366605,2366640
1,2378397,2381846
1,2405867,2407103
1,286058,286078
1,2374727,1711
1,2411806,2364477
1,2389473,2362334
1,2333800,2832
1,2409423,2390516
1,2385675,4445
1,2384495,713694
1,2360927,1711
1,2341705,2366550
1,498069,285961
1,2412039,2376065
1,2383872,2346577
1,2388053,2389473
1,2787,498069
1,2318061,2353541
1,2412795,2453
1,2389473,2404652
1,2396961,2353541
1,2376065,2349737
1,2349737,2332851
1,2409423,393
1,2352159,2372295
1,2317249,2400837
1,150515,2408968
1,2348432,713533
1,2405274,2330120
1,2361056,2364729
1,160,2376065
1,2384495,2360803
1,2354333,2344410
1,1051,2409225
1,2361407,2326199
1,1160066,2340390
1,2361056,713650
1,897,2349335
1,2359604,1592762
1,713432,2315718
1,1159811,1160066
1,2326294,2374047
1,2320658,285680
1,2352159,2384507
1,1592762,2388442
1,2415709,1051
1,2407406,2326294
1,2366125,2346577
1,-1,0
1,897,2400837
1,2326199,2376005
1,2417466,2410580
1,2384495,2374727
1,2341705,2374047
1,2334681,2318042
1,2405274,2316138
1,2372295,2341434
1,2371993,2373390
1,2316138,2387855
1,2334681,1159959
1,2340751,2347458
1,285770,286078
1,2369013,2385092
1,150515,2333648
1,1159959,2384507
1,2360927,713059
1,2348432,2388053
1,498391,2326310
1,2362134,1051
1,2336116,2319115
1,2332851,2375204
1,2356281,2346577
1,2412039,2408968
1,2396524,2340751
1,2384495,2356281
1,1379,713650
1,2375820,285770
1,2372295,2400441
1,2341268,2387855
1,2417466,2411806
1,1592751,286058
1,2349335,2333800
1,2317249,107962
1,2318308,2376668
1,498233,2390516
1,2325612,2341705
1,393,713427
1,2413085,2392171
1,2364729,2362134
1,2412795,713371
1,2408800,2346577
1,1159376,2453
1,2347458,285961
1,2366508,2417502
1,2326294,2832
1,2360803,2409055
1,0,-1
1,2341268,2360344
1,2384504,498069
1,286078,150515
1,2315718,2397064
1,2330120,2335471
1,1160208,2360803
1,713694,2381846
1,2371682,1051
1,2358947,2369959
1,2384495,713694
1,2412150,2377656
1,4445,2371993
1,2355303,2381846
1,2376005,2453
1,2371230,498391
1,2315726,2352159
1,713371,2366550
1,2367851,2412039
1,1592433,2381846
1,2375820,2317249
1,150493,498006
1,2397064,1379
1,285680,4333
1,2347458,2396077
1,498391,2371682
1,2411806,2341259
1,2374842,2339760
1,150515,2340390
1,713371,498002
1,286058,2361407
1,713432,2384504
1,2396077,2400441
1,2385092,1593035
1,2375043,2346742
1,2366550,2344410
1,2375204,498002
1,2341268,1159650
1,713432,2413085
1,2366508,395
1,2333800,713694
1,2411785,2325612
1,2371993,498233
1,2369013,2410580
1,2355303,498006
1,2353541,2396077
1,2390627,2369013
1,2360892,2366125
1,2317249,107962
1,2354333,2335471
1,2384598,2369171
1,1159376,1160066
1,2366993,1592433
1,2400837,713694
1,2453,1593035
1,2411602,2390627
1,498069,2325092
1,2349737,713059
1,2358947,713533
1,498069,2341705
1,2370845,2366125
1,2319899,2392833
1,2384490,2366993
1,2336116,2341259
1,2352250,2387855
1,2334681,2411785
1,2362134,2417465
1,2333648,2417465
1,4333,2335471
1,2404652,2325092
1,2383872,1159650
1,2319899,1159650
1,2317249,2360803
1,2318672,2402616
1,1711,150493
1,2349335,285770
1,2341268,2390165
1,2387855,2333648
1,2349737,2363587
1,1592433,150515
1,2374047,2832
1,2318308,2326294
1,2340390,2367507
1,393,2417466
1,2408800,2374842
1,2363398,2319115
1,2409225,2336116
1,2373390,150493
1,2315718,2366550
1,2317249,350
1,2412039,2374047
1,2411602,2415709
1,2378397,2381846
1,2343930,2410580
1,1592751,2396524
1,2409423,2341434
1,2318308,2387855
1,2364340,2352250
1,2392833,2411785
1,150515,2385092
1,2390165,2362334
1,2335471,2366640
1,2404542,2373390
2,107962,1159376
2,2320658,2321657
2,2349737,2349948
2,2366640,2366993
2,2381846,2383872
2,2407103,2407142
2,286078,350
2,2388442,2412795
2,286058,2326310
2,2341268,713371
2,2410580,2415709
2,713533,2323842
2,2326199,2346742
2,2319899,2352159
2,1159735,2318672
2,2361056,2370845
2,286058,2326310
2,4333,1160208
2,1592401,2377058
2,2319899,2357275
2,2352250,2340390
2,2344410,2367829
2,2396276,2387855
2,2370845,2388442
2,713427,2396077
2,2352159,2407103
2,713650,2366640
2,1160066,2412150
2,2407142,2408547
2,2409055,2354333
2,-1,0
2,2373390,2366508
2,2366125,2333648
2,2407103,4445
2,2390516,2374842
2,2405867,2374842
2,2346742,2358947
2,285680,2330120
2,2350120,2388442
2,2323842,2359604
2,2347458,2376065
2,2369907,2325612
2,2360892,2369907
2,2388053,2325092
2,2389473,2400837
2,2388053,2325092
2,2316138,2417465
2,2354333,2417502
2,2358947,2356281
2,713371,2400441
2,2409779,2366550
2,2363587,2411785
2,2366125,2383872
2,150515,2366993
2,2405274,2338995
2,2363398,395
2,2367507,1051
2,2366508,713533
2,2363398,2832
2,1386,2357275
2,2375820,2366993
2,1592433,2832
2,713533,2384598
2,2409001,2374727
2,1159524,2384507
2,1160066,2363587
2,2375043,2385092
2,2376065,2409225
2,2383872,2388442
2,2409055,2407103
2,2385675,4333
2,2339760,2376005
2,2407406,2364729
2,2352159,286058
2,2363587,2366605
2,2338995,2377656
2,2325612,2340751
2,2389473,2400837
2,-1,0
2,2384490,1711
2,2349335,2356281
2,2377058,2377656
2,2377058,2367829
2,2787,2411806
2,2409779,2340751
2,2368102,285680
2,897,2358947
2,713533,713059
2,2409055,2338995
2,2388442,2378397
2,1592762,2317249
2,2367507,2350120
2,2409423,2408547
2,2334681,2335471
2,498006,2397064
2,2374047,2396276
2,2384504,2400441
2,2361407,2413085
2,2334681,285961
2,2346742,395
2,2371230,2388053
2,713427,2321657
2,2346742,2407142
2,2378397,2371230
2,2318672,2405867
2,2396524,713432
2,2411602,2417465
2,2369171,285680
2,2317249,2367851
2,2374842,2404542
2,2348432,2400837
2,2408968,2372295
2,2370835,2390627
2,2323842,2371993
2,2319115,2370835
2,2412795,2315726
2,2384490,2397064
2,2378397,2402616
2,1159959,2366605
2,2360344,1593035
2,2348432,1159524
2,2392171,286078
2,2392833,2320658
2,1159735,2408968
2,2325612,2321657
2,1159811,2375043
2,2334681,713650
2,2367829,2341434
2,2787,2384490
2,2378397,2412795
2,2376005,2343930
2,2318061,2318042
2,2390516,2369907
2,2326294,1159650
2,2315726,150493
2,2318672,2390627
2,1159376,2376668
2,2417466,2409225
2,2374727,1592751
2,2407142,2318042
2,2333648,1051
2,2364729,1592751
2,2364076,2363398
2,2346742,2353541
2,2412039,2384490
2,1159735,107962
2,2373922,2367851
2,713432,2366605
2,286058,2321657
2,2355303,2318308
2,2405867,2408547
2,285961,498006
2,2396077,2366125
2,2341268,2372295
2,2367507,2378397
2,2316138,2402616
2,2354333,2343930
2,2375204,2453
2,2384507,2392833
2,2325612,2371682
2,1593035,2410580
2,2343930,2321657
2,2358947,2409055
2,2341259,713650
2,2325612,2377058
2,2404652,2339760
2,2350120,2364477
2,2344410,2409001
2,395,2361056
2,2412039,150493
2,1593035,2402616
2,2410580,2369171
2,713059,2396524
2,2315726,1592401
2,2407142,2396276
2,2356281,160
2,2787,2371993
2,150515,2385675
2,107962,2316138
2,2411602,2318672
2,713432,1592401
2,2832,2409001
2,498391,350
2,2396524,2374727
2,2340751,2417465
2,2340751,2361407
2,2349737,1379
2,2417465,285961
2,1592401,2400441
2,2376668,2407406
2,2349335,1159735
2,2341434,2407103
2,2373922,2384598
2,2407103,2349948
2,498233,2341705
2,2321657,498002
2,2376065,2411602
2,2335471,2346742
2,2396276,2383872
2,2366550,2341434
2,2417466,2417465
2,713371,498002
2,2375204,2366640
3,1159376,1159524
3,2321657,2323842
3,2349948,2350120
3,2366993,2367507
3,2408800,2364729
3,2383872,2384490
3,2407142,2407406
3,350,393
3,2409225,2364340
3,2384598,2336116
3,713694,286078
3,2364477,2349737
3,2341268,2367851
3,2370835,2372295
3,107962,2383872
3,1160208,2343930
3,2333648,2368102
3,2417466,2396276
3,498391,2318308
3,2787,2349737
3,2362334,2350120
3,2364076,2366508
3,2367851,2332851
3,2411602,1159811
3,2396077,1051
3,2318308,2316138
3,2321657,498006
3,2404652,393
3,2333800,2404652
3,2407103,2377058
3,713432,2369013
3,2412039,2366605
3,2390165,713432
3,2385092,2355303
3,498006,2371682
3,2367851,285770
3,2412795,2371230
3,2366550,2376668
3,2787,2344410
3,2366605,2390516
3,713432,2319899
3,2363398,2332851
3,1160066,2341259
3,2341705,2377058
3,2318061,2339760
3,2402616,2389473
3,2397064,713371
3,286078,2407142
3,2413085,498391
3,2408800,2378397
3,2359604,2341434
3,2383872,2397064
3,2370835,2341705
3,2409001,2409779
3,2356281,1379
3,2341705,2412150
3,-1,0
